Date,Open,High,Low,Close,Adj Close,Volume
2021-10-22,37.630001,37.720001,37.250000,37.650002,33.757397,10847576
2021-10-25,37.810001,38.189999,37.700001,37.930000,34.008446,4739305
2021-10-26,38.200001,38.400002,38.080002,38.209999,34.259495,4678439
2021-10-27,38.099998,38.099998,37.570000,37.660000,33.766357,5046536
2021-10-28,37.330002,37.599998,37.000000,37.020000,33.192528,6141262
2021-10-29,37.250000,37.369999,36.560001,36.580002,32.798019,6351873
2021-11-01,36.650002,36.660000,35.950001,36.410000,32.645596,11518954
2021-11-02,36.310001,36.349998,35.560001,35.560001,31.883476,7135471
2021-11-03,35.700001,36.220001,35.639999,35.939999,32.224186,5271614
2021-11-04,36.160000,36.259998,36.000000,36.029999,32.304882,7533077
2021-11-05,36.130001,36.430000,36.070000,36.090000,32.358677,5896196
2021-11-08,36.250000,36.720001,36.250000,36.380001,32.618698,5245119
2021-11-09,36.919998,37.299999,36.599998,36.730000,32.932510,5232629
2021-11-10,36.549999,36.549999,35.720001,35.740002,32.044868,7476197
2021-11-11,35.700001,36.900002,35.689999,36.660000,32.869747,8437385
2021-11-12,37.790001,38.169998,37.509998,37.700001,33.802223,7526512
2021-11-15,37.580002,37.750000,37.310001,37.459999,33.587036,5094292
2021-11-16,36.740002,36.820000,36.349998,36.490002,32.717327,8188502
2021-11-17,36.259998,36.400002,35.700001,35.959999,32.242123,9398804
2021-11-18,36.150002,36.279999,35.900002,36.040001,32.313850,8106186
2021-11-19,36.189999,36.450001,35.939999,36.450001,32.681458,9256667
2021-11-22,36.400002,36.580002,36.240002,36.580002,32.798019,5940565
2021-11-23,37.480000,38.270000,37.380001,38.049999,34.116035,10508799
2021-11-24,38.299999,38.630001,38.080002,38.240002,34.286396,8236204
2021-11-25,38.660000,38.770000,38.400002,38.619999,34.627106,6318608
2021-11-26,38.490002,38.500000,37.705002,38.029999,34.098103,8698105
2021-11-29,38.279999,38.889999,38.270000,38.570000,34.582275,9073699
2021-11-30,39.369999,39.380001,38.709999,39.369999,35.299564,17206843
2021-12-01,39.380001,40.090000,39.240002,39.900002,35.774769,8719243
2021-12-02,39.250000,39.930000,39.070000,39.709999,35.604408,6885791
2021-12-03,40.610001,40.990002,40.180000,40.230000,36.070648,9332864
2021-12-06,39.209999,39.730000,39.070000,39.590000,35.496819,8435691
2021-12-07,39.540001,40.110001,39.270000,39.950001,35.819599,7322165
2021-12-08,40.830002,40.980000,40.525002,40.689999,36.483086,7273312
